简单易画的表情，有空自己动手试试哦	“的”不是一个命名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“阿拉伯”是一个地缘政治实体名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“美国”是一个地缘政治实体名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“阿拉伯马”是一个地缘政治实体名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“俊逸”不是一个命名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“阿拉伯马”不是一个命名实体
美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技	“分享”不是一个命名实体
只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“莉莉”是一个人名实体
只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“魏晨”是一个人名实体
只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“阿呆”是一个人名实体
只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“是”不是一个命名实体
只爱原味心心心我是莉莉我爱魏晨呆阿呆是真汉子啊巴扎嘿原味最好吃橘子是橘不是菊薯片擼包包害羞看誰誰都是薯片擼包包我喜歡你這口味宅腐集中营自觉举手	“汉子”不是一个命名实体
